Product ID,Product Name,Chinese Name,Image Link,Video Link,Price (RM),Category
"B122","MONEY GOD FOUNTAIN (SMALL)","","https://media.bmfireworks.com/bearboom/images/B122_72.png","https://media.bmfireworks.com/bearboom/videos/B122_72.mp4","48","fountain"
"B123","MONEY GOD FOUNTAIN (BIG)","","https://media.bmfireworks.com/bearboom/images/B123_73.png","https://media.bmfireworks.com/bearboom/videos/B123_73.mp4","48","fountain"
"B130","PEARL FOUNTAIN","","https://media.bmfireworks.com/bearboom/images/B130_74.png","","15","fountain"
"B091","13"" ICE CREAM(15"" EFFECT) 13(15)","","https://media.bmfireworks.com/bearboom/images/B091_75.png","","88","fountain"
"B105","ROMANTIC FOUNTAIN (FOUNTAIN V FIREWORKS)   (+","","https://media.bmfireworks.com/bearboom/images/B105_76.png","https://media.bmfireworks.com/bearboom/videos/B105_76.mp4","38","fountain-fireworks"
"B106","VOLCANO FIREWORKS (FOUNTAIN V FIREWORKS) +1","","https://media.bmfireworks.com/bearboom/images/B106_77.png","https://media.bmfireworks.com/bearboom/videos/B106_77.mp4","178","fountain-fireworks"
"B052","BIG BUTTERFLY","","https://media.bmfireworks.com/bearboom/images/B052_78.png","https://media.bmfireworks.com/bearboom/videos/B052_78.mp4","18","skyshow"
"B048","50 SHOT TIKUS 50","","https://media.bmfireworks.com/bearboom/images/B048_79.png","https://media.bmfireworks.com/bearboom/videos/B048_79.mp4","18","skyshow"
"B049","100 SHOT TIKUS 100","","https://media.bmfireworks.com/bearboom/images/B049_80.png","https://media.bmfireworks.com/bearboom/videos/B049_80.mp4","18","skyshow"
"B071","100 SHOOT FLYING DRAGON 100","","https://media.bmfireworks.com/bearboom/images/B071_81.png","https://media.bmfireworks.com/bearboom/videos/B071_81.mp4","22","skyshow"
"B065","JELLY FISH (LINK)","","https://media.bmfireworks.com/bearboom/images/B065_82.png","https://media.bmfireworks.com/bearboom/videos/B065_82.mp4","45","skyshow"
"B088","JELLY FISH (SINGLE)","","https://media.bmfireworks.com/bearboom/images/B088_83.png","https://media.bmfireworks.com/bearboom/videos/B088_83.mp4","25","skyshow"
"B050","BEE  3box per set","","https://media.bmfireworks.com/bearboom/images/B050_84.png","https://media.bmfireworks.com/bearboom/videos/B050_84.mp4","10","skyshow"
"B089","EXPLOSIVE GOLD ROCKET(WOLF)  ()","","https://media.bmfireworks.com/bearboom/images/B089_85.png","https://media.bmfireworks.com/bearboom/videos/B089_85.mp4","48","rocket"
"B044","THUNDER CLAP","","https://media.bmfireworks.com/bearboom/images/B044_86.png","https://media.bmfireworks.com/bearboom/videos/B044_86.mp4","25","rocket"
"B045","THUNDER CLAP BESAR","","https://media.bmfireworks.com/bearboom/images/B045_87.png","https://media.bmfireworks.com/bearboom/videos/B045_87.mp4","35","rocket"
"B046","ROCKET (1.0"" + 1.2"")   (1.0"" + 1.2"")","","https://media.bmfireworks.com/bearboom/images/B046_88.png","https://media.bmfireworks.com/bearboom/videos/B046_88.mp4","48","rocket"
"B047","MOON TRAVEL","","https://media.bmfireworks.com/bearboom/images/B047_89.png","https://media.bmfireworks.com/bearboom/videos/B047_89.mp4","25","rocket"
"B029","MANCIS","","https://media.bmfireworks.com/bearboom/images/cm4131kol000q5kbksohalprv.png","https://media.bmfireworks.com/bearboom/videos/cm4131kol000q5kbksohalprv.mp4","15","snap-pops"
"B292","DOUBLE SHOOT MANCIS","","https://media.bmfireworks.com/bearboom/images/cmjpn590q0009jp04s4bfdnw8.png","","25","snap-pops"
"B293","BLUE SMOKE MANCIS","","https://media.bmfireworks.com/bearboom/images/cmf10djfd003sig04i5qu19dl.png","https://media.bmfireworks.com/bearboom/videos/cmf10djfd003sig04i5qu19dl.mp4","25","snap-pops"
"B100","DRAGON SCALE BOOM","","https://media.bmfireworks.com/bearboom/images/cmjpnlnft001ykv04zencxtgx.png","","20","snap-pops"
"B034","CILI PADI","","https://media.bmfireworks.com/bearboom/images/B034_94.png","https://media.bmfireworks.com/bearboom/videos/B034_94.mp4","10","pili-cracker"
"B035","DRAGON EGG","","https://media.bmfireworks.com/bearboom/images/B035_95.png","https://media.bmfireworks.com/bearboom/videos/B035_95.mp4","10","pili-cracker"
"B036","DRAGON EGG BESAR","","https://media.bmfireworks.com/bearboom/images/B036_96.png","https://media.bmfireworks.com/bearboom/videos/B036_96.mp4","18","pili-cracker"
"B137","3 METER MAGIC","","https://media.bmfireworks.com/bearboom/images/B137_97.png","https://media.bmfireworks.com/bearboom/videos/B137_97.mp4","25","pili-cracker"
"B038","NAGA 3 MINUTE","","https://media.bmfireworks.com/bearboom/images/B038_98.png","https://media.bmfireworks.com/bearboom/videos/B038_98.mp4","10","pili-cracker"
"B090","NAGA 3 MINUTE BESAR","","https://media.bmfireworks.com/bearboom/images/B090_99.png","https://media.bmfireworks.com/bearboom/videos/B090_99.mp4","25","pili-cracker"
"B030","GASING  (30PCS)","","https://media.bmfireworks.com/bearboom/images/B030_100.png","https://media.bmfireworks.com/bearboom/videos/B030_100.mp4","10","spinner"
"B031","LOTUS","","https://media.bmfireworks.com/bearboom/images/B031_101.png","https://media.bmfireworks.com/bearboom/videos/B031_101.mp4","20","spinner"
"B028","CAMELLIA FLOWER","","https://media.bmfireworks.com/bearboom/images/B028_102.png","https://media.bmfireworks.com/bearboom/videos/B028_102.mp4","18","spinner"
"B022","THUNDER KING","","https://media.bmfireworks.com/bearboom/images/B022_103.png","https://media.bmfireworks.com/bearboom/videos/B022_103.mp4","12","single-fireworks"
"B012","BANANA KECIL  (0.8)","","https://media.bmfireworks.com/bearboom/images/B012_104.png","https://media.bmfireworks.com/bearboom/videos/B012_104.mp4","12","single-fireworks"
"B099","BANANA BESAR (1.2)  (1.2)","","https://media.bmfireworks.com/bearboom/images/B099_105.png","https://media.bmfireworks.com/bearboom/videos/B099_105.mp4","45","single-fireworks"
"B013","DOUBLE SHOOT BANANA BESAR (1.75)  (1.75)","","https://media.bmfireworks.com/bearboom/images/B013_106.png","https://media.bmfireworks.com/bearboom/videos/B013_106.mp4","55","single-fireworks"
